car_ID,curbweight,cylindernumber,boreratio,enginesize,horsepower,citympg,carbase
1,2548,four,3.47,130,111,21,10820.08
2,2548,four,3.47,130,111,21,10820.08
3,2823,six,2.68,152,154,19,11213.599999999999
4,2337,four,3.19,109,102,24,11690.92
5,2824,five,3.19,136,115,18,11726.24
6,2507,five,3.19,136,110,19,11754.99
7,2844,five,3.19,136,110,19,13758.78
8,2954,five,3.19,136,110,19,13758.78
9,3086,five,3.13,131,140,17,13758.78
10,3053,five,3.13,131,160,16,12099.78
11,2395,four,3.5,108,101,23,11456.64
12,2395,four,3.5,108,101,23,11456.64
13,2710,six,3.31,164,121,21,11456.64
14,2765,six,3.31,164,121,21,11456.64
15,3055,six,3.31,164,121,20,12644.1
16,3230,six,3.62,209,182,16,12644.1
17,3380,six,3.62,209,182,16,13159.020000000002
18,3505,six,3.62,209,182,15,13967.300000000001
19,1488,three,2.91,61,48,47,8508.33
20,1874,four,3.03,90,70,38,9915.24
21,1909,four,3.03,90,70,38,10099.68
22,1876,four,2.97,90,68,37,10035.74
23,1876,four,2.97,90,68,31,10035.74
24,2128,four,3.03,98,102,24,10035.74
25,1967,four,2.97,90,68,31,10035.74
26,1989,four,2.97,90,68,31,10035.74
27,1989,four,2.97,90,68,31,10035.74
28,2191,four,3.03,98,102,24,10035.74
29,2535,four,3.34,122,88,24,11279.159999999998
30,2811,four,3.6,156,145,19,11483.159999999998
31,1713,four,2.91,92,58,49,9239.939999999999
32,1819,four,2.91,92,76,31,9239.939999999999
33,1837,four,2.91,79,60,38,9600.0
34,1940,four,2.91,92,76,30,9600.0
35,1956,four,2.91,92,76,30,9600.0
36,2010,four,2.91,92,76,30,10457.6
37,2024,four,2.92,92,76,30,10038.689999999999
38,2236,four,3.15,110,86,27,10921.0
39,2289,four,3.15,110,86,27,10921.0
40,2304,four,3.15,110,86,27,11436.080000000002
41,2372,four,3.15,110,86,27,10962.5
42,2465,four,3.15,110,101,24,11436.080000000002
43,2293,four,3.15,110,100,25,11160.6
44,2337,four,3.31,111,78,24,10549.259999999998
45,1874,four,3.03,90,70,38,9915.24
46,1909,four,3.03,90,70,38,9915.24
47,2734,four,3.43,119,90,24,11253.52
48,4066,six,3.63,258,176,15,13892.159999999998
49,4066,six,3.63,258,176,15,13892.159999999998
50,3950,twelve,3.54,326,262,13,13534.019999999999
51,1890,four,3.03,91,68,30,10214.22
52,1900,four,3.03,91,68,31,10214.22
53,1905,four,3.03,91,68,31,10214.22
54,1945,four,3.03,91,68,31,10708.560000000001
55,1950,four,3.08,91,68,31,10708.560000000001
56,2380,two,3.33,70,101,17,11103.300000000001
57,2380,two,3.33,70,101,17,11103.300000000001
58,2385,two,3.33,70,101,17,11103.300000000001
59,2500,two,3.33,80,135,16,11103.300000000001
60,2385,four,3.39,122,84,26,11823.7
61,2410,four,3.39,122,84,26,11823.7
62,2385,four,3.39,122,84,26,11823.7
63,2410,four,3.39,122,84,26,11823.7
64,2443,four,3.39,122,64,36,11823.7
65,2425,four,3.39,122,84,26,11823.7
66,2670,four,3.76,140,120,19,11567.499999999998
67,2700,four,3.43,134,72,31,11567.499999999998
68,3515,five,3.58,183,123,22,13420.27
69,3750,five,3.58,183,123,22,13420.27
70,3495,five,3.58,183,123,22,13181.25
71,3770,five,3.58,183,123,22,14526.42
72,3740,eight,3.46,234,155,16,14526.42
73,3685,eight,3.46,234,155,16,12711.150000000001
74,3900,eight,3.8,308,184,14,14920.77
75,3715,eight,3.8,304,184,14,14342.4
76,2910,four,3.78,140,175,19,12131.2
77,1918,four,2.97,92,68,37,10130.12
78,1944,four,2.97,92,68,31,10130.12
79,2004,four,2.97,92,68,31,10130.12
80,2145,four,3.03,98,102,24,10035.74
81,2370,four,3.17,110,116,23,11314.2
82,2328,four,3.35,122,88,25,11314.2
83,2833,four,3.58,156,145,19,11483.159999999998
84,2921,four,3.59,156,145,19,11483.159999999998
85,2926,four,3.59,156,145,19,11483.159999999998
86,2365,four,3.35,122,88,25,11274.960000000001
87,2405,four,3.35,122,88,25,11274.960000000001
88,2403,four,3.17,110,116,23,11274.960000000001
89,2403,four,3.17,110,116,23,11274.960000000001
90,1889,four,3.15,97,69,31,10546.14
91,2017,four,2.99,103,55,45,10546.14
92,1918,four,3.15,97,69,31,10546.14
93,1938,four,3.15,97,69,31,10546.14
94,2024,four,3.15,97,69,31,10858.759999999998
95,1951,four,3.15,97,69,31,10546.14
96,2028,four,3.15,97,69,31,10565.279999999999
97,1971,four,3.15,97,69,31,10546.14
98,2037,four,3.15,97,69,31,10858.759999999998
99,2008,four,3.15,97,69,31,10361.12
100,2324,four,3.33,120,97,27,11305.68
101,2302,four,3.33,120,97,27,11305.68
102,3095,six,3.43,181,152,17,12083.05
103,3296,six,3.43,181,152,17,12275.9
104,3060,six,3.43,181,152,19,12275.9
105,3071,six,3.43,181,160,19,11590.53
106,3139,six,3.43,181,200,17,11590.53
107,3139,six,3.43,181,160,19,12120.150000000001
108,3020,four,3.46,120,97,19,12770.28
109,3197,four,3.7,152,95,28,12770.28
110,3230,four,3.46,120,97,19,13604.760000000002
111,3430,four,3.7,152,95,25,13604.760000000002
112,3075,four,3.46,120,95,19,12770.28
113,3252,four,3.7,152,95,28,12770.28
114,3285,four,3.46,120,95,19,13604.760000000002
115,3485,four,3.7,152,95,25,13604.760000000002
116,3075,four,3.46,120,97,19,12770.28
117,3252,four,3.7,152,95,28,12770.28
118,3130,four,3.61,134,142,18,12751.609999999999
119,1918,four,2.97,90,68,37,10035.74
120,2128,four,3.03,98,102,24,10035.74
121,1967,four,2.97,90,68,31,10035.74
122,1989,four,2.97,90,68,31,10673.74
123,2191,four,2.97,98,68,31,10673.74
124,2535,four,3.35,122,88,24,11279.159999999998
125,2818,four,3.59,156,145,19,11483.159999999998
126,2778,four,3.94,151,143,19,11535.87
127,2756,six,3.74,194,207,17,10978.5
128,2756,six,3.74,194,207,17,10978.5
129,2800,six,3.74,194,207,17,10978.5
130,3366,eight,3.94,203,288,17,12703.109999999999
131,2579,four,3.46,132,90,23,12069.75
132,2460,four,3.46,132,90,23,11774.88
133,2658,four,3.54,121,110,21,12408.9
134,2695,four,3.54,121,110,21,12408.9
135,2707,four,2.54,121,110,21,12408.9
136,2758,four,3.54,121,110,21,12408.9
137,2808,four,3.54,121,160,19,12408.9
138,2847,four,3.54,121,160,19,12408.9
139,2050,four,3.62,97,69,31,9947.460000000001
140,2120,four,3.62,108,73,26,10042.44
141,2240,four,3.62,108,73,26,10035.74
142,2145,four,3.62,108,82,32,11248.800000000001
143,2190,four,3.62,108,82,28,11248.800000000001
144,2340,four,3.62,108,94,26,11248.800000000001
145,2385,four,3.62,108,82,24,11248.800000000001
146,2510,four,3.62,108,111,24,11248.800000000001
147,2290,four,3.62,108,82,28,11346.900000000001
148,2455,four,3.62,108,94,25,11346.900000000001
149,2420,four,3.62,108,82,23,11353.44
150,2650,four,3.62,108,111,23,11353.44
151,1985,four,3.05,92,62,35,10093.32
152,2040,four,3.05,92,62,31,10093.32
153,2015,four,3.05,92,62,31,10093.32
154,2280,four,3.05,92,62,31,10792.92
155,2290,four,3.05,92,62,27,10792.92
156,3110,four,3.05,92,62,27,10792.92
157,2081,four,3.19,98,70,30,10709.720000000001
158,2109,four,3.19,98,70,30,10709.720000000001
159,2275,four,3.27,110,56,34,10709.720000000001
160,2275,four,3.27,110,56,38,10709.720000000001
161,2094,four,3.19,98,70,38,10709.720000000001
162,2122,four,3.19,98,70,28,10709.720000000001
163,2140,four,3.19,98,70,28,10709.720000000001
164,2169,four,3.19,98,70,29,10796.8
165,2204,four,3.19,98,70,29,10796.8
166,2265,four,3.24,98,112,26,10796.8
167,2300,four,3.24,98,112,26,10796.8
168,2540,four,3.62,146,116,24,11558.719999999998
169,2536,four,3.62,146,116,24,11558.719999999998
170,2551,four,3.62,146,116,24,11558.719999999998
171,2679,four,3.62,146,116,24,11558.719999999998
172,2714,four,3.62,146,116,24,11558.719999999998
173,2975,four,3.62,146,116,24,11558.719999999998
174,2326,four,3.31,122,92,29,11677.4
175,2480,four,3.27,110,73,30,11677.4
176,2414,four,3.31,122,92,27,11677.4
177,2414,four,3.31,122,92,27,11677.4
178,2458,four,3.31,122,92,27,11677.4
179,2976,six,3.27,171,161,20,12422.95
180,3016,six,3.27,171,161,19,12422.95
181,3131,six,3.27,171,156,20,12488.7
182,3151,six,3.27,161,156,19,12488.7
183,2261,four,3.01,97,52,37,11246.349999999999
184,2209,four,3.19,109,85,27,11246.349999999999
185,2264,four,3.01,97,52,37,11246.349999999999
186,2212,four,3.19,109,85,27,11246.349999999999
187,2275,four,3.19,109,85,27,11246.349999999999
188,2319,four,3.01,97,68,37,11246.349999999999
189,2300,four,3.19,109,100,26,11246.349999999999
190,2254,four,3.19,109,90,24,10227.060000000001
191,2221,four,3.19,109,90,24,10604.8
192,2661,five,3.19,136,110,19,12055.380000000001
193,2579,four,3.01,97,68,33,12055.380000000001
194,2563,four,3.19,109,88,25,12249.390000000001
195,2912,four,3.78,141,114,23,12687.36
196,3034,four,3.78,141,114,23,12687.36
197,2935,four,3.78,141,114,24,12687.36
198,3042,four,3.78,141,114,24,12687.36
199,3045,four,3.62,130,162,17,12687.36
200,3157,four,3.62,130,162,17,12687.36
201,2952,four,3.78,141,114,23,13008.320000000002
202,3049,four,3.78,141,160,19,12989.44
203,3012,six,3.58,173,134,18,13008.320000000002
204,3217,six,3.01,145,106,26,13008.320000000002
205,3062,four,3.78,141,114,19,13008.320000000002
